name,latitude,longitude,nearest_road,vehicle_count,distance,traffic_level,recommended_action
Holte Parking,52.50793007491116,-1.882985088806841,A4040,15455,0.005465581975660205,Medium,Monitor
Wychall Farm School staff car park,52.40789621234666,-1.9496446849572908,U,3147,0.0061385434634157075,Low,No Immediate Action
The Camp Pub Car Park,52.41259157943174,-1.9353186792774797,A4040,13073,0.006651379639640637,Medium,Monitor
Away Coach Parking,52.51095342709105,-1.8849183903096396,A4040,15455,0.002953363580856355,Medium,Monitor
Temple Car Park ( for temple worshippers),52.484136120994926,-1.9107447913049056,B4135,14064,0.0035243600806566682,Medium,Monitor
Northwood Street Car Park,52.48746571329367,-1.9064292618304224,U,496,0.006810280438706181,Low,No Immediate Action
Gala Bingo Parking,52.457518614658674,-1.9545870060222927,B4129,9690,0.009745800063119606,Low,No Immediate Action
Forest Drive,52.46262684802852,-1.948862151765172,U,9620,0.008200394667508059,Low,No Immediate Action
Winterbourne House parking,52.45280158748562,-1.9249623080100196,C,15322,0.005539895462318964,Medium,Monitor
New Bingley Hall,52.49541891905712,-1.9167180804722443,A41,15689,0.0019433580198587779,Medium,Monitor
Mere Green;Sainsburys,52.5868054992692,-1.826989881205301,A5127,20442,0.014397702305399633,Medium,Monitor
Iceland,52.55088685974648,-1.884169967982124,U,2014,0.007552818875437569,Low,No Immediate Action
kKings Road Methodists,52.55166856404959,-1.8790120115363995,U,6264,0.006946152305108313,Low,No Immediate Action
Genners Lane Car Park,52.433814921586254,-1.9961887367395053,B4121,16286,0.019804149049134617,Medium,Monitor
Cromwell Lane Car Park,52.433995524577824,-1.9927739179793196,B4121,16286,0.01638769398367964,Medium,Monitor
Albert Street,52.45725918570299,-1.8714885484338624,A41,22428,0.0014727188489857804,Medium,Monitor
Heartlands Hospital Staff Car Park,52.47577940345562,-1.8375144675244213,C,9978,0.01683766148008301,Low,No Immediate Action
Drakes Drum,52.54020708313296,-1.897350144942583,U,3562,0.0033078975992885096,Low,No Immediate Action
